age,job,marital,education,balance,day,month,duration,campaign,pdays,previous,outcome,y
69,retired,single,secondary,13437,8,aug,554,3,29,4,unknown,yes
32,blue-collar,single,secondary,14855,8,jul,2140,9,18,4,unknown,yes
89,student,single,tertiary,79947,30,oct,4977,5,13,3,unknown,no
78,unemployed,single,secondary,8847,17,sep,2678,3,13,3,success,yes
38,unemployed,married,secondary,1236,30,feb,4916,9,20,0,unknown,yes
92,student,single,primary,59897,17,aug,583,1,14,8,failure,yes
92,student,divorced,primary,11487,3,jun,4941,9,22,8,unknown,yes
41,management,married,tertiary,75384,1,jan,1996,5,1,3,failure,no
20,admin,divorced,primary,60423,17,apr,841,6,-1,9,success,no
39,retired,single,secondary,11155,26,feb,2375,2,19,9,unknown,yes
70,unemployed,married,secondary,9255,24,jul,4038,8,10,3,failure,yes
19,student,single,secondary,-21,16,sep,1804,3,13,6,unknown,no
47,retired,married,primary,19305,17,jun,729,1,17,3,unknown,yes
55,unemployed,divorced,secondary,72543,25,apr,4349,7,4,0,failure,yes
19,student,single,secondary,33094,2,may,1463,3,29,8,success,no
81,unemployed,single,tertiary,33098,25,nov,4946,4,17,1,success,no
77,management,married,tertiary,87566,14,jan,2167,5,15,4,success,yes
38,admin,married,tertiary,31770,7,apr,4917,1,7,3,success,yes
50,admin,single,primary,7734,25,oct,1572,9,19,7,success,no
93,student,married,secondary,69984,19,mar,4966,7,11,5,success,no
75,unemployed,single,secondary,37605,1,sep,1393,2,13,6,unknown,yes
39,management,married,secondary,75932,17,jun,256,1,14,1,unknown,yes
66,technician,divorced,tertiary,53619,27,apr,127,2,11,3,failure,no
76,retired,married,secondary,25881,10,mar,1382,3,0,3,success,yes
59,retired,divorced,secondary,61401,6,dec,3728,3,0,1,success,no
77,blue-collar,married,secondary,29177,7,apr,4651,8,9,9,success,no
32,management,married,secondary,38122,25,aug,2700,5,28,3,failure,no
79,unemployed,single,secondary,33297,6,dec,3147,9,23,8,unknown,yes
79,blue-collar,married,primary,34680,5,may,2205,3,26,7,unknown,no
64,student,married,secondary,81452,30,nov,4180,6,14,0,success,no
79,unemployed,divorced,primary,49044,2,jan,321,4,15,7,unknown,yes
68,blue-collar,married,secondary,94775,18,may,2356,8,24,8,unknown,no
72,admin,single,primary,42084,24,aug,4379,1,1,7,unknown,no
81,retired,divorced,secondary,32189,17,nov,3113,4,26,9,success,yes
20,unemployed,single,secondary,11510,24,dec,1917,7,27,0,unknown,no
68,blue-collar,single,secondary,88502,27,apr,3956,9,27,7,unknown,yes
24,admin,single,secondary,20152,26,feb,4709,1,24,4,failure,yes
38,management,single,tertiary,82738,27,mar,2696,8,25,8,success,no
90,blue-collar,divorced,secondary,24445,23,nov,1516,2,21,8,unknown,no
56,student,married,primary,74688,7,sep,3293,4,28,5,success,no
35,student,single,tertiary,69153,21,jul,4324,4,-1,2,unknown,no
21,student,divorced,tertiary,-805,19,mar,3045,8,16,6,success,no
77,unemployed,single,secondary,57949,7,may,118,2,12,2,unknown,yes
31,retired,married,primary,23433,23,mar,2371,7,20,6,unknown,yes
26,blue-collar,divorced,primary,3305,7,oct,4415,3,7,7,failure,no
70,management,divorced,tertiary,56860,16,apr,3918,9,26,4,success,no
19,blue-collar,married,primary,71613,12,dec,3260,5,7,4,unknown,yes
77,retired,divorced,secondary,46648,15,aug,2585,8,10,3,failure,no
88,admin,married,secondary,61090,15,mar,4796,5,22,2,failure,no
61,retired,divorced,secondary,94921,11,mar,2441,1,28,7,success,no
25,student,divorced,secondary,40113,2,nov,2699,9,1,5,success,yes
64,unemployed,married,secondary,40642,3,nov,1017,7,0,5,failure,yes
52,admin,married,tertiary,31062,19,aug,4501,4,-1,1,success,yes
53,unemployed,divorced,secondary,69633,20,oct,3047,7,25,3,success,yes
67,student,divorced,secondary,39604,28,oct,2068,5,25,4,success,no
21,technician,married,tertiary,4678,25,jul,3665,9,7,9,unknown,no
19,retired,married,tertiary,30121,26,jul,4250,2,11,4,success,no
23,retired,divorced,tertiary,46503,15,oct,4962,4,28,2,success,yes
71,management,divorced,primary,84940,16,feb,4654,6,19,9,failure,no
21,blue-collar,divorced,primary,69279,1,dec,193,5,26,4,failure,yes
71,admin,married,secondary,14494,15,jul,2446,1,14,4,failure,no
80,unemployed,divorced,secondary,42185,12,oct,1399,9,17,1,success,yes
35,admin,single,secondary,7678,7,nov,2519,9,8,4,success,no
61,management,married,primary,35632,7,oct,3927,3,24,2,failure,no
51,management,divorced,secondary,44235,11,mar,3687,4,25,2,failure,no
91,unemployed,married,secondary,-352,20,jul,4897,4,3,4,unknown,no
79,blue-collar,single,primary,79213,29,apr,552,8,12,8,unknown,no
31,unemployed,married,tertiary,86301,11,aug,729,6,25,1,unknown,no
65,unemployed,divorced,primary,65917,17,aug,2560,2,13,8,success,no
32,student,single,secondary,14489,3,jun,3997,4,26,2,success,no
89,blue-collar,single,primary,75281,16,dec,4266,1,1,6,failure,no
79,retired,divorced,tertiary,3818,5,mar,4945,3,7,0,unknown,yes
57,student,divorced,tertiary,31149,28,jun,793,4,27,0,success,yes
70,technician,divorced,tertiary,25312,2,jun,124,8,-1,7,unknown,yes
41,blue-collar,married,tertiary,35124,23,mar,174,3,-1,8,unknown,yes
43,management,married,tertiary,-684,30,nov,2551,5,17,2,success,yes
77,student,married,tertiary,68990,26,apr,3848,1,4,5,unknown,yes
58,blue-collar,divorced,secondary,58046,26,feb,3456,4,9,2,failure,no
46,admin,divorced,secondary,76643,7,jan,2758,2,28,5,failure,no
32,unemployed,married,primary,67610,28,feb,3839,4,16,6,success,yes
62,technician,single,secondary,84724,10,jul,3755,5,12,4,unknown,yes
82,retired,married,tertiary,95504,5,oct,3642,3,14,2,failure,no
88,unemployed,single,secondary,62042,15,may,4201,6,-1,7,unknown,no
26,admin,divorced,primary,21102,12,sep,1970,2,22,4,failure,no
18,admin,divorced,tertiary,29957,10,mar,1660,5,25,0,failure,no
25,technician,married,secondary,10872,22,feb,2575,4,8,8,unknown,yes
80,retired,married,secondary,48094,17,apr,37,5,29,2,success,yes
28,management,divorced,primary,45719,20,feb,4490,9,23,1,success,no
25,student,married,tertiary,71885,20,nov,2524,6,8,2,success,yes
52,retired,divorced,primary,17693,11,jul,4817,7,11,6,unknown,yes
52,blue-collar,divorced,tertiary,48478,8,oct,3576,8,26,9,unknown,no
50,admin,single,tertiary,96163,15,jun,1308,9,-1,7,unknown,no
22,blue-collar,married,secondary,41677,2,aug,3535,5,1,1,success,no
58,management,divorced,primary,58012,17,may,4460,8,12,6,unknown,no
45,blue-collar,married,primary,8760,23,feb,2228,2,19,4,success,yes
24,retired,single,primary,9584,6,apr,4829,9,14,8,failure,no
90,blue-collar,single,tertiary,106,21,jan,2923,2,21,6,success,no
89,management,married,primary,11669,28,feb,3041,5,24,0,success,yes
29,management,married,tertiary,23223,13,apr,2708,6,18,0,success,no
51,management,divorced,primary,58666,29,jun,4339,4,4,5,unknown,no
50,retired,single,primary,33706,29,apr,4408,8,-1,8,success,yes
65,management,single,secondary,66019,8,apr,4171,3,18,0,failure,no
40,admin,single,primary,59585,11,nov,3952,5,22,2,failure,no
79,unemployed,married,secondary,25482,15,oct,2309,2,3,4,failure,yes
54,management,divorced,secondary,58369,13,oct,230,3,6,3,failure,no
61,blue-collar,married,tertiary,32143,18,feb,2750,8,10,0,failure,no
52,student,married,primary,22240,18,sep,2693,5,-1,9,failure,yes
82,blue-collar,married,primary,8015,25,dec,2804,3,11,3,success,yes
64,student,divorced,primary,80164,17,oct,841,5,24,3,unknown,no
20,blue-collar,married,secondary,61023,22,aug,3583,9,7,9,unknown,no
18,retired,single,primary,49500,13,aug,4611,3,18,3,failure,no
22,blue-collar,single,tertiary,61925,29,may,2489,7,23,2,success,no
31,retired,single,tertiary,88979,3,mar,4914,8,22,6,failure,yes
44,retired,divorced,primary,94355,29,jun,3534,5,6,0,failure,yes
26,management,married,secondary,78596,21,sep,607,3,11,1,failure,yes
32,admin,divorced,tertiary,90973,24,aug,4618,6,26,0,failure,no
59,student,married,tertiary,47631,7,jul,3960,3,0,3,unknown,yes
94,management,single,secondary,74190,29,nov,4257,9,29,4,unknown,no
68,management,married,tertiary,61652,12,aug,2031,2,13,9,success,no
80,unemployed,married,secondary,49087,4,apr,201,3,12,4,success,yes
69,retired,married,tertiary,77789,24,jun,1364,7,17,1,failure,yes
21,retired,divorced,secondary,52909,27,may,751,8,24,2,unknown,yes
40,student,married,tertiary,9565,27,dec,1205,5,7,3,failure,no
32,blue-collar,married,primary,25597,26,feb,1320,5,17,9,unknown,yes
60,blue-collar,married,tertiary,91304,11,aug,3887,5,28,5,unknown,no
46,management,divorced,tertiary,63623,14,mar,1330,4,12,5,success,yes
53,technician,divorced,primary,7432,18,may,430,9,6,1,success,no
30,technician,divorced,primary,72300,7,aug,2165,6,3,1,unknown,yes
49,blue-collar,married,primary,63714,5,nov,4683,8,28,8,success,no
88,technician,single,primary,89837,16,sep,3117,8,5,1,failure,no
76,unemployed,single,secondary,47314,11,sep,2274,5,2,1,unknown,yes
45,blue-collar,single,secondary,98944,22,may,3365,9,6,2,unknown,no
83,retired,married,tertiary,39965,3,feb,1263,2,2,8,unknown,yes
59,management,single,tertiary,95449,16,jul,2395,8,19,5,failure,no
62,admin,single,tertiary,82268,11,nov,4236,3,28,5,unknown,yes
79,management,single,secondary,65957,10,nov,4299,7,-1,9,success,yes
74,blue-collar,married,tertiary,41715,23,jul,3733,9,24,4,failure,no
23,unemployed,single,tertiary,51450,23,dec,1665,5,6,6,unknown,yes
